isin,isin_url,descrizione,cedola,ultimo,scadenza
IT0005514473,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005514473.html,"Btp Tf 3,5% Ge26 Eur","1,75","100,42",15/01/2026
IT0005517195,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005517195.html,Btp Italia Nv28 Eur,"0,80","97,78",22/11/2028
IT0005518128,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005518128.html,"Btp Tf 4,40% Mg33 Eur","2,20","106,48",01/05/2033
IT0005519787,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005519787.html,"Btp Tf 3,85% Dc29 Eur","1,925","102,97",15/12/2029
IT0005521981,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005521981.html,"Btp Tf 3,4% Ap28 Eur","1,70","101,02",01/04/2028
IT0005530032,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005530032.html,"Btp Tf 4,45% St43 Eur","2,225","104,04",01/09/2043
IT0005532723,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005532723.html,Btp Italia Mz28 Eur,"1,00","99,46",14/03/2028
IT0005534141,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005534141.html,"Btp Tf 4,5% Ot53 Eur","2,25","104,10",01/10/2053
IT0005534281,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005534281.html,"Btp Tf 3,4% Mz25 Eur","1,70","99,97",28/03/2025
IT0005538597,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005538597.html,"Btp Tf 3,80% Ap26 Eur","1,90","101,11",15/04/2026
IT0005542359,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005542359.html,Btpgreen 4%Ot31eur,"2,00","103,86",30/10/2031
IT0005542797,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005542797.html,"Btp Tf 3,7% Gn30 Eur","1,85","102,08",15/06/2030
IT0005543803,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005543803.html,Btpi Tf 1.5% Mg29 Eur,"0,75","100,02",15/05/2029
IT0005544082,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005544082.html,"Btp Tf 4,35% Nv33 Eur","2,175","105,88",01/11/2033
IT0005547408,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005547408.html,Btp Valore Gn27 Eur,"1,625","101,05",13/06/2027
IT0005547812,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005547812.html,"Btpi Tf 2,4% Mg39 Eur","1,20","104,91",15/05/2039
IT0005548315,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005548315.html,"Btp Tf 3,8% Ag28 Eur","1,90","102,62",01/08/2028
IT0005556011,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005556011.html,"Btp Tf 3,85% St26 Eur","1,925","101,56",15/09/2026
IT0005557084,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005557084.html,"Btp Tf 3,6% St25 Eur","1,80","100,35",29/09/2025
IT0005560948,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005560948.html,"Btp Tf 4,2% Mz34 Eur","2,10","104,58",01/03/2034
IT0005561888,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005561888.html,Btp Fx 4% Nov30 Eur,"2,00","103,70",15/11/2030
